4562558,Altamira,Altamira,,18.39773,-66.10406,P,PPL,PR,,127,7268411,,,0,23,29,America/Puerto_Rico,8/3/15
4562559,Altavilla,Altavilla,Alta Vista,18.35106,-65.99878,P,PPL,PR,,139,7268156,,,0,75,76,America/Puerto_Rico,8/3/15
4562560,Altavista,Altavista,Alta Vista,18.01219,-66.58628,P,PPL,PR,,113,7268949,,,0,13,20,America/Puerto_Rico,8/3/15
4562561,Alto Las Ovejas,Alto Las Ovejas,,18.4793,-66.26925,T,MT,PR,,51,7268474,,,0,20,12,America/Puerto_Rico,8/3/15
4562562,Alto de la Bandera,Alto de la Bandera,,18.1294,-66.89045,T,MT,PR,,153,7268930,,,0,760,754,America/Puerto_Rico,8/3/15
4562563,Alto del Descanso,Alto del Descanso,,18.15746,-66.99879,T,MT,PR,,93,7268623,,,0,749,747,America/Puerto_Rico,8/3/15
4562564,El Alto,El Alto,,18.28356,-66.72462,T,RDGE,PR,,141,,,,0,427,433,America/Puerto_Rico,2/16/07
4562565,Altos de San Luis,Altos de San Luis,,18.26884,-66.02461,T,MTS,PR,,25,,,,0,193,195,America/Puerto_Rico,2/19/10
4562566,Altos de la Mesa,Altos de la Mesa,,18.26745,-66.0635,T,MTS,PR,,25,,,,0,325,337,America/Puerto_Rico,2/19/10
4562567,Alturas de Adjuntas,Alturas de Adjuntas,,18.15635,-65.71961,P,PPL,PR,,1,,,,0,0,-9999,America/Puerto_Rico,2/16/07
4562568,Alturas de Aguada,Alturas de Aguada,,18.3805,-67.19879,P,PPL,PR,,5,,,,0,4,7,America/Puerto_Rico,2/16/07
4562569,Alturas de Berwind,Alturas de Berwind,,18.38773,-66.01655,P,PPL,PR,,127,7268945,,,0,72,56,America/Puerto_Rico,8/3/15
4562570,Alturas de Boriquen,Alturas de Boriquen,,18.35689,-66.0685,P,PPL,PR,,7,,,,0,60,61,America/Puerto_Rico,2/16/07
4562571,Alturas de Cana,Alturas de Cana,,18.35689,-66.18683,P,PPL,PR,,105,,,,0,111,119,America/Puerto_Rico,2/16/07
4562572,Alturas de Ciales,Alturas de Ciales,,18.35023,-66.47406,P,PPL,PR,,39,7268468,,,0,47,56,America/Puerto_Rico,8/3/15
4562573,Alturas de Cibuco,Alturas de Cibuco,,18.34328,-66.33156,P,PPL,PR,,47,7268077,,,0,112,117,America/Puerto_Rico,8/3/15
4562574,Alturas de Cupey,Alturas de Cupey,,18.36439,-66.04461,P,PPL,PR,,7,,,,0,62,66,America/Puerto_Rico,2/16/07
4562575,Alturas de Fairview,Alturas de Fairview,,18.35384,-66.0235,P,PPL,PR,,139,7268347,,,0,72,64,America/Puerto_Rico,8/3/15
4562576,Alturas de Flamboyan,Alturas de Flamboyan,,18.38856,-66.15322,P,PPL,PR,,21,7268653,,,0,10,9,America/Puerto_Rico,8/3/15
4562577,Alturas de Florida,Alturas de Florida,,18.35662,-66.57601,P,PPL,PR,,54,7268393,,,0,197,199,America/Puerto_Rico,8/3/15
4562578,Alturas de Inter-Americana,Alturas de Inter-Americana,,18.3655,-66.02544,P,PPL,PR,,7,,,,0,79,74,America/Puerto_Rico,2/16/07
4562579,Alturas de Lajas Number 1,Alturas de Lajas Number 1,,18.04663,-67.05573,P,PPL,PR,,125,,,,0,57,67,America/Puerto_Rico,2/16/07
4562580,Alturas de Lajas Number 2,Alturas de Lajas Number 2,,18.04524,-67.05601,P,PPL,PR,,125,,,,0,52,57,America/Puerto_Rico,2/16/07
4562581,Alturas de Peneulas,Alturas de Peneulas,,18.06135,-65.73044,P,PPL,PR,,111,,,,0,0,-9999,America/Puerto_Rico,2/16/07
4562582,Alturas de Penuelas,Alturas de Penuelas,,18.06357,-66.7224,P,PPL,PR,,111,7268511,,,0,73,77,America/Puerto_Rico,8/3/15
4562583,Alturas de San Benito,Alturas de San Benito,,18.1594,-65.84961,P,PPL,PR,,69,7269029,,,0,43,61,America/Puerto_Rico,8/3/15
4562584,Alturas de San Jose,Alturas de San Jose,,18.08857,-66.97073,P,PPL,PR,,121,7268996,,,0,118,120,America/Puerto_Rico,8/3/15
4562585,Alturas de San Lorenzo,Alturas de San Lorenzo,,18.17996,-65.95739,P,PPL,PR,,129,7268067,,,0,82,90,America/Puerto_Rico,8/3/15
4562586,Alturas de San Sauci,Alturas de San Sauci,,18.36162,-66.18572,P,PPL,PR,,21,7268065,,,0,73,91,America/Puerto_Rico,8/3/15
4562587,Alturas de San Sauci,Alturas de San Sauci,,18.36467,-66.1785,P,PPL,PR,,105,,,,0,40,42,America/Puerto_Rico,2/16/07
4562588,Alturas de Santa Maria,Alturas de Santa Maria,,18.37078,-66.08906,P,PPL,PR,,7,,,,0,49,51,America/Puerto_Rico,2/16/07
4562589,Alturas de Villas del Rey,Alturas de Villas del Rey,,18.21523,-66.06044,P,PPL,PR,,25,7268314,,,0,99,106,America/Puerto_Rico,8/3/15
4562590,Alturas de Yanes Primera Seccion,Alturas de Yanes Primera Seccion,,18.36106,-66.55739,P,PPL,PR,,54,7268393,,,0,200,204,America/Puerto_Rico,8/3/15
4562591,Alturas de Yanes Segunda Seccion,Alturas de Yanes Segunda Seccion,,18.36217,-66.55351,P,PPL,PR,,54,7268393,,,0,207,206,America/Puerto_Rico,8/3/15
4562592,Amador,Amador,,18.47661,-66.94046,P,PPL,PR,,115,7268868,,,0,115,117,America/Puerto_Rico,8/3/15
4562593,Amalia Marin,Amalia Marin,,17.97663,-66.10878,P,PPL,PR,,57,7268439,,,0,54,53,America/Puerto_Rico,8/3/15
4562594,Amalia Marin,Amalia Marin,,17.98386,-66.63378,P,PPL,PR,,113,7268770,,,0,0,5,America/Puerto_Rico,8/3/15
4562595,Amelia,Amelia,,18.43495,-66.11683,P,PPL,PR,,61,7268822,,,0,2,2,America/Puerto_Rico,8/3/15
4562596,American College,American College,American University of Puerto Rico,18.40717,-66.18656,S,SCH,PR,,21,7268466,,,0,62,62,America/Puerto_Rico,8/3/15
4562597,American Military Academy,American Military Academy,,18.38134,-66.10906,S,SCH,PR,,61,7268398,,,0,71,73,America/Puerto_Rico,8/3/15
4562598,American University,American University,,18.43384,-66.47795,S,SCH,PR,,91,7268611,,,0,44,46,America/Puerto_Rico,8/3/15
4562599,Amuelas,Amuelas,,18.03219,-66.50545,P,PPL,PR,,75,7268193,,,0,28,31,America/Puerto_Rico,8/3/15
4562600,Añasco,Anasco,"An'jasko,Anasco,Anasko,a ni ya si ke,annasako,Аньяско,Ањаско,আন্নাসকো,阿尼亞斯科",18.28273,-67.13962,P,PPLA,PR,,11,7268196,,,6136,9,14,America/Puerto_Rico,8/3/15
4562602,Anasco Post Office,Anasco Post Office,,18.28245,-67.14212,S,PO,PR,,117,,,,0,9,12,America/Puerto_Rico,2/16/07
4562603,Bahía de Añasco,Bahia de Anasco,Bahia de Anasco,18.28134,-67.19963,H,BAY,PR,,11,,,,0,0,-9999,America/Puerto_Rico,2/16/07
4562604,Balnearin de Añasco,Balnearin de Anasco,Balnearin de Anasco,18.28967,-67.19407,T,BCH,PR,,11,7268768,,,0,2,9,America/Puerto_Rico,8/3/15
4562605,Añasco,Anasco,"ANA,Anasco,Añasco,Donde los dioses Mueren",18.28134,-67.1274,A,ADM1,PR,,11,,,,29261,9,12,America/Puerto_Rico,4/14/19
4562606,El Ancón,El Ancon,"Dita Rock,El Ancon,High Breaker,Piedra Dita",18.35162,-65.34294,T,ISL,PR,,49,,,,0,5,-9999,America/Puerto_Rico,12/12/11
4562607,Anegado Channel,Anegado Channel,,18.46606,-66.10378,H,CHN,PR,,21,,,,0,7,8,America/Puerto_Rico,2/16/07
4562608,Anexo Agustin Stahl,Anexo Agustin Stahl,,18.40189,-66.05044,S,BLDG,PR,,125,,,,0,26,31,America/Puerto_Rico,2/16/07
4562609,Anexo Biologia,Anexo Biologia,,18.40189,-66.04878,S,BLDG,PR,,127,7269058,,,0,26,31,America/Puerto_Rico,8/3/15
4562610,Anexo Economia Domestica,Anexo Economia Domestica,,18.40356,-66.05044,S,BLDG,PR,,127,7269058,,,0,26,31,America/Puerto_Rico,8/3/15
4562611,Anfiteatro Estudios Generales Nuevo,Anfiteatro Estudios Generales Nuevo,,18.4055,-66.04572,S,BLDG,PR,,127,7269058,,,0,20,23,America/Puerto_Rico,8/3/15
4562612,Angel Ramos Visitor and Education Facility,Angel Ramos Visitor and Education Facility,Angel Ramos Foundation Visitors Center,18.34745,-66.75323,S,BLDG,PR,,13,7268376,,,0,313,323,America/Puerto_Rico,8/3/15
4562613,Ángeles,Angeles,Angeles,18.28495,-66.79934,P,PPL,PR,,141,7268199,,,0,420,421,America/Puerto_Rico,8/3/15
4562614,Angelito Trail,Angelito Trail,Vereda Angelito,18.32329,-65.74461,R,TRL,PR,,53,,,,0,215,199,America/Puerto_Rico,2/16/07
4562615,Animas,Animas,,18.4455,-66.6349,P,PPL,PR,,13,7268384,,,1450,52,59,America/Puerto_Rico,8/3/15
4562617,Antiguo Estadio Municipal (historical),Antiguo Estadio Municipal (historical),,18.37745,-67.19518,L,PRK,PR,,5,,,,0,5,11,America/Puerto_Rico,2/16/07
4562618,Antiguo Manicomio Insular,Antiguo Manicomio Insular,,18.46772,-66.12072,S,BLDG,PR,,127,7268975,,,0,22,29,America/Puerto_Rico,8/3/15
4562619,Antiguo Palacio Territorial,Antiguo Palacio Territorial,Palacio Rojo,18.46411,-66.11906,S,BLDG,PR,,127,7268975,,,0,12,15,America/Puerto_Rico,8/3/15
4562620,Antillana,Antillana,,18.34578,-65.98628,P,PPL,PR,,63,,,,0,50,45,America/Puerto_Rico,2/16/07
4562621,Antilles Military Academy,Antilles Military Academy,,18.36439,-66.01822,S,SCH,PR,,139,7268133,,,0,81,82,America/Puerto_Rico,8/3/15
4562622,Antillian College,Antillian College,,18.20579,-67.11268,S,SCH,PR,,97,7268644,,,0,98,97,America/Puerto_Rico,8/3/15
